Block,Street,Address,Zip,Trade Name,Corp Name,License
16-Dec,20TH STREET WEST,12-16 20TH STREET WEST,21218,KONG POCHA,"SOY BEAN, INC.",LB
225-27,23RD STREET WEST,225-27 23RD STREET WEST,21211,CLAVEL,"HARLAN, INC",LB
400,23RD STREET WEST,400 23RD STREET WEST,21211,W.C. HARLAN,"400 W. 23RD STREET, INC.",LD
101,25TH STREET EAST,101 25TH STREET EAST,21218,NEW TERRA CAFE,"NEW TERRA CAFE, LLC",LB
1001,25TH STREET EAST,1001 25TH STREET EAST,21218,ORYE'S LIQUORS,"BEST RVB, INC.",LA
120,25TH STREET WEST,120 25TH STREET WEST,21218,ST. MARY'S RESTAURANT & BAR,"ST. MARY'S LIQUORS, LLC",LBD7
134-36,25TH STREET WEST,134-36 25TH STREET WEST,21218,VISION HOUSE,"ALL TRD, LLC",LBD7
127,27TH STREET WEST,127 27TH STREET WEST,21218,SWEET 27,"STREET FOODS, LLC",LB
301,29TH STREET  WEST,301 29TH STREET  WEST,21211,R.HOUSE,"R.HOUSE LICENSEE,LLC",LB
1601,29TH STREET EAST,1601 29TH STREET EAST,21218,J & M FOOD MARKET,"KANG FAMILY ENTERPRISES, INC.",WA
329 1/2,29TH STREET WEST,329 1/2 29TH STREET WEST,21211,THE REMINGTON BOTTLE,"329 W. 29TH STREET LICENSEE, LLC",LA
398,29TH STREET WEST,398 29TH STREET WEST,21211,29TH STREET TAVERN,"398,LLC",LBD7
401,30TH STREET EAST,401 30TH STREET EAST,21218,PEABODY HEIGHTS BREWERY AT OLD ORIOLE PARK,"PEABODY HEIGHTS BREWERY, LLC",D
300,30TH STREET WEST,300 30TH STREET WEST,21211,THE DIZZ,"DIZZ MANAGEMENT,LLC",LBD7
11,33RD STREET EAST,11 33RD STREET EAST,21218,BIRD IN HAND,"ROTONDE BALTIMORE, LLC",LB
810,36TH STREET WEST,810 36TH STREET WEST,21211,DANGEROUSLY DELICIOUS PIE,"HENRY RODNEY PIE , LLC",LB
822-24,36TH STREET WEST,822-24 36TH STREET WEST,21211,DANIELA'S CAFE AND BAKERY,"D&U, LLC",LB
842,36TH STREET WEST,842 36TH STREET WEST,21211,THE VERANDAH KITCHEN,"THE RUSTIC GOURMET OF ROLAND PARK, LLC",WD
850,36TH STREET WEST,850 36TH STREET WEST,21211,MONA'S SUPER NOODLE,"LUNAMAHASAN, INC.",LB
865,36TH STREET WEST,865 36TH STREET WEST,21211,KILLER'S LIQUORS,"HAGOS, LLC",LA
901,36TH STREET WEST,901 36TH STREET WEST,21211,FIVE AND DIME ALE HOUSE,"901 HAMDEN, LLC",LB
908-12,36TH STREET WEST,908-12 36TH STREET WEST,21211,HOLY FRIJOLES,HOLY FRIJOLES INC,LB
911,36TH STREET WEST,911 36TH STREET WEST,21211,THE AVENUE KITCHEN AND BAR,THE AVENUE K&B LLC,LB
916,36TH STREET WEST,916 36TH STREET WEST,21211,N/A,CONTRACT PURCHASER,LB
